iter	Logloss
0	0.6621334524
1	0.6349139022
2	0.6094979786
3	0.5874287034
4	0.5666340422
5	0.5478983993
6	0.5311413749
7	0.5152238002
8	0.4999256409
9	0.4862101138
10	0.4744927434
11	0.4642039606
12	0.454612289
13	0.4452976064
14	0.4364680477
15	0.4284452047
16	0.4214521135
17	0.4148992169
18	0.4074621759
19	0.4016914545
20	0.396040686
21	0.3911335216
22	0.3854227295
23	0.3818647297
24	0.3778068564
25	0.373242773
26	0.3697188749
27	0.3661943717
28	0.3631257862
29	0.3598379649
30	0.3561279365
31	0.3532237022
32	0.3509318291
33	0.3485841204
34	0.3463163018
35	0.3443585843
36	0.3418360152
37	0.340216225
38	0.3386043935
39	0.3367543065
40	0.3354110566
41	0.3336981846
42	0.3320128656
43	0.3298930456
44	0.328657981
45	0.3274263891
46	0.3255665023
47	0.3245045121
48	0.3232280812
49	0.3216323178
50	0.320635846
51	0.3193702444
52	0.3187302386
53	0.3180120519
54	0.3168761634
55	0.3152889137
56	0.3143278485
57	0.3135247505
58	0.312783192
59	0.3118173313
60	0.3108720271
61	0.309695103
62	0.309168384
63	0.3083713147
64	0.3077558179
65	0.3073084967
66	0.3067226089
67	0.3062428183
68	0.3053202695
69	0.304389223
70	0.3037284195
71	0.3031742599
72	0.302124079
73	0.3015742876
74	0.3009239856
75	0.3003781178
76	0.2997657544
77	0.2989513199
78	0.2983105685
79	0.2975249864
80	0.2968144043
81	0.2960393639
82	0.2954409101
83	0.2950313898
84	0.2944968394
85	0.293970034
86	0.2933727233
87	0.2929080935
88	0.2924468509
89	0.2917215726
90	0.2912926559
91	0.2907315551
92	0.2901797133
93	0.2898635812
94	0.2894098185
95	0.2889218023
96	0.2881592644
97	0.2876893866
98	0.2872802367
99	0.2870327942
100	0.2865699127
101	0.2862023339
102	0.2858058767
103	0.2851913553
104	0.2847854242
105	0.2841668446
106	0.2837956051
107	0.2833952531
108	0.2830891567
109	0.2828001716
110	0.2822385204
111	0.281912462
112	0.2813280411
113	0.2809095764
114	0.2802605938
115	0.2798199416
116	0.2793056434
117	0.2789110244
118	0.2786095967
119	0.278268723
120	0.2778264729
121	0.2774247096
122	0.2771588292
123	0.2768886345
124	0.2764195456
125	0.2760534705
126	0.275675746
127	0.2753072384
128	0.2747840728
129	0.2743907504
130	0.2742314387
131	0.2738190106
132	0.2734827766
133	0.273208996
134	0.2725634945
135	0.2722362574
136	0.2718459895
137	0.2715312702
138	0.2710898187
139	0.2708186628
140	0.2705493366
141	0.2702824204
142	0.26979941
143	0.2695391672
144	0.2692651367
145	0.269004908
146	0.2688176638
147	0.2685993266
148	0.2680752181
149	0.2676053191
150	0.2672982944
151	0.2671435221
152	0.2668571711
153	0.2665303611
154	0.2661349616
155	0.2658423335
