iter	Passed	Remaining
0	168	167933
1	179	89811
2	197	65737
3	211	52563
4	220	43832
5	232	38454
6	242	34348
7	251	31168
8	262	28908
9	274	27178
10	283	25510
11	295	24298
12	305	23223
13	316	22303
14	328	21590
15	339	20893
16	350	20272
17	363	19808
18	374	19338
19	384	18816
20	395	18422
21	405	18042
22	415	17656
23	426	17357
24	437	17070
25	447	16752
26	458	16513
27	468	16252
28	478	16018
29	489	15823
30	498	15591
31	509	15417
32	519	15226
33	528	15017
34	540	14902
35	551	14756
36	561	14601
37	572	14496
38	582	14354
39	593	14248
40	606	14179
41	616	14072
42	626	13945
43	638	13862
44	647	13744
45	659	13670
46	670	13603
47	681	13517
48	691	13428
49	703	13367
50	714	13292
51	724	13209
52	735	13144
53	745	13064
54	755	12978
55	773	13046
56	783	12968
57	792	12875
58	800	12759
59	809	12687
60	817	12580
61	827	12513
62	835	12425
63	844	12346
64	852	12268
65	861	12194
66	870	12127
67	878	12043
68	887	11979
69	895	11903
70	905	11841
71	913	11770
72	922	11715
73	931	11653
74	940	11605
75	951	11563
76	959	11505
77	969	11464
78	978	11408
79	989	11380
80	999	11341
81	1009	11301
82	1020	11269
83	1037	11313
84	1055	11362
85	1075	11426
86	1092	11459
87	1107	11476
88	1120	11472
89	1132	11452
90	1142	11410
91	1154	11392
92	1165	11370
93	1202	11586
94	1217	11595
95	1230	11588
96	1241	11558
97	1252	11525
98	1264	11506
99	1274	11467
100	1284	11432
101	1295	11401
102	1304	11356
103	1314	11327
104	1323	11285
105	1334	11254
106	1344	11219
107	1353	11178
108	1363	11144
109	1373	11110
110	1383	11080
111	1393	11049
112	1403	11015
113	1414	10991
114	1425	10970
115	1434	10935
116	1445	10912
117	1455	10880
118	1465	10849
119	1476	10824
120	1486	10797
121	1497	10773
122	1506	10744
123	1515	10709
124	1526	10682
125	1536	10657
126	1545	10625
127	1555	10596
128	1564	10564
129	1574	10537
130	1583	10504
131	1594	10484
132	1605	10462
133	1614	10433
134	1624	10408
135	1634	10383
136	1644	10359
137	1655	10338
138	1664	10307
139	1675	10290
140	1685	10268
141	1695	10244
142	1706	10227
143	1716	10203
144	1727	10183
145	1737	10164
146	1746	10135
147	1757	10117
148	1767	10097
149	1777	10075
150	1788	10058
151	1798	10033
152	1809	10014
153	1818	9991
154	1828	9966
155	1839	9950
156	1849	9930
157	1858	9905
158	1868	9885
159	1878	9863
160	1889	9844
161	1899	9828
162	1909	9807
163	1919	9786
164	1929	9764
165	1939	9743
166	1949	9722
167	1958	9697
168	1968	9677
169	1978	9659
170	1988	9642
171	1999	9625
172	2008	9600
173	2018	9581
174	2028	9562
175	2037	9538
176	2046	9517
177	2056	9495
178	2066	9477
179	2075	9454
180	2086	9438
181	2096	9422
182	2105	9401
183	2116	9385
184	2125	9365
185	2135	9344
186	2145	9329
187	2154	9307
188	2164	9288
189	2173	9265
190	2183	9249
191	2193	9230
192	2203	9213
193	2213	9198
194	2224	9181
195	2234	9164
196	2244	9149
197	2254	9130
198	2263	9112
199	2273	9094
200	2283	9078
201	2294	9066
202	2303	9044
203	2314	9030
204	2323	9010
205	2332	8991
206	2342	8975
207	2351	8955
208	2362	8940
209	2371	8922
210	2381	8906
211	2392	8892
212	2401	8874
213	2412	8859
214	2421	8841
215	2431	8824
216	2441	8808
217	2450	8790
218	2460	8774
219	2470	8757
220	2479	8738
221	2488	8720
222	2497	8703
223	2507	8687
224	2517	8670
225	2527	8655
226	2536	8637
227	2545	8620
228	2556	8608
229	2565	8588
230	2576	8576
231	2586	8562
232	2595	8545
233	2606	8532
234	2616	8517
235	2627	8505
236	2638	8495
237	2648	8479
238	2659	8468
239	2670	8455
240	2679	8439
241	2690	8428
242	2700	8413
243	2711	8401
244	2721	8387
245	2730	8369
246	2740	8354
247	2749	8337
248	2759	8322
249	2769	8309
250	2778	8292
251	2789	8278
252	2799	8264
253	2808	8249
254	2818	8234
255	2827	8216
256	2837	8202
257	2846	8185
258	2856	8171
259	2866	8158
260	2875	8141
261	2885	8128
262	2895	8113
263	2904	8098
264	2915	8086
265	2924	8070
266	2935	8059
267	2945	8045
268	2955	8031
269	2965	8018
270	2975	8005
271	2986	7993
272	2996	7979
273	3006	7965
274	3016	7952
275	3025	7937
276	3036	7926
277	3047	7914
278	3056	7899
279	3067	7887
280	3077	7874
281	3087	7860
282	3097	7848
283	3107	7834
284	3117	7821
285	3127	7808
286	3137	7794
287	3147	7780
288	3156	7765
289	3167	7753
290	3176	7739
291	3186	7726
292	3197	7715
293	3207	7701
294	3217	7689
295	3227	7675
296	3236	7660
297	3246	7647
298	3255	7633
299	3265	7620
300	3275	7607
301	3285	7594
302	3296	7583
303	3306	7569
304	3316	7556
305	3325	7542
306	3334	7527
307	3344	7514
308	3354	7502
309	3364	7489
310	3375	7478
311	3385	7464
312	3395	7452
313	3405	7440
314	3415	7428
315	3426	7416
316	3436	7403
317	3446	7391
318	3456	7378
319	3466	7366
320	3477	7354
321	3486	7341
322	3496	7328
323	3507	7318
324	3518	7306
325	3528	7295
326	3538	7283
327	3548	7270
328	3558	7257
329	3568	7244
330	3577	7230
331	3587	7217
332	3596	7204
333	3606	7191
334	3615	7176
335	3625	7164
336	3634	7150
337	3643	7136
338	3653	7124
339	3662	7109
340	3673	7098
341	3682	7085
342	3692	7073
343	3702	7060
344	3711	7046
345	3721	7034
346	3731	7021
347	3742	7012
348	3753	7000
349	3762	6987
350	3773	6976
351	3783	6964
352	3792	6951
353	3802	6939
354	3811	6925
355	3822	6913
356	3831	6900
357	3840	6887
358	3850	6874
359	3859	6861
360	3869	6849
361	3879	6837
362	3890	6827
363	3900	6814
364	3910	6803
365	3921	6792
366	3932	6781
367	3941	6769
368	3952	6758
369	3963	6748
370	3973	6736
371	3984	6726
372	3993	6713
373	4004	6702
374	4014	6690
375	4024	6678
376	4036	6669
377	4046	6658
378	4056	6646
379	4067	6635
380	4075	6621
381	4086	6610
382	4095	6598
383	4105	6585
384	4116	6576
385	4126	6564
386	4138	6554
387	4148	6543
388	4157	6529
389	4171	6524
390	4188	6523
391	4204	6520
392	4217	6513
393	4228	6504
394	4239	6493
395	4249	6481
396	4260	6471
397	4271	6460
398	4281	6448
399	4291	6437
400	4300	6423
401	4311	6413
402	4321	6401
403	4331	6389
